Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
Edifici Nou i Novíssim,Coberta,46,105800,Ciutat Vella,38088,2.177636994021850,1,Connexió a xarxa,84.64,2000,41.3817393706,"Plaça Sant Miquel, 1"
CEIP Costa i Llobera,Coberta,3,6000,Sarrià-Sant Gervasi,2160,2.108931198056360,5,Connexió a xarxa,4.8,2002,41.402116173325400,"Carrer de la Capella de Can Caralleu, 3"
CEIP Tàber,Coberta,16,37606,Sarrià-Sant Gervasi,13538,2.112299569219710,5,Connexió a xarxa,30.08,2002,41.401224466632500,"Carrer Esports, 9"
CEIP Font d'en Fargas,Coberta,3,6000,Horta-Guinardó,2160,2.165784055730250,7,Connexió a xarxa,4.8,2002,41.422796879358100,"Passeig Font d'en Fargues, 65"
Pèrgola de Vallbona,Espai públic,38,86400,Nou Barris,31104,2.186297977432090,8,Connexió a xarxa,86.4,2002,41.465160742776000,Carrer Castelladral 6-10
Institut FP Narcís Monturiol,Coberta,3,6000,Ciutat Vella,2160,2.191699990468070,1,Connexió a xarxa,4.8,2003,41.381052513451700,Passeig Salvat Papasseït s/n
IES M. Bosc de Montjuïc,Coberta,3,6000,Sants-Montjuïc,2160,2.161529484565170,3,Connexió a xarxa,4.8,2003,41.369353666614800,"Avinguda Miramar, 9"
IES M. Serrat i Bonastre,Coberta,2,3600,Sarrià-Sant Gervasi,1296,2.148025009690350,5,Connexió a xarxa,2.88,2003,41.406764919077000,"Carrer Marquès de Santa Anna, 4"
IES Anna Gironella de Mundet,Coberta,3,6000,Horta-Guinardó,2160,2.143536213704960,7,Connexió a xarxa,4.8,2003,41.437066315843500,"Carrer d'Olympe de Gouges, s/n"
IES M. Ferran Tallada,Coberta,3,6000,Horta-Guinardó,2160,2.163458184566790,7,Connexió a xarxa,4.8,2003,41.420645431925100,"Carrer Gran Vista, 54"
CEIP M. Escola del Mar,Coberta,3,6000,Horta-Guinardó,2160,2.170107182710400,7,Connexió a xarxa,4.8,2003,41.418097454215600,"Carrer Gènova, 12"
Biblioteca Ignasi Iglesias – Can Fabra. Façana,Parets i mitgeres,2,5410,Sant Andreu,1948,2.191482082710950,9,Connexió a xarxa,5.41,2003,41.435302344134500,"Carrer del Segre, 22-32"
CEE M. Pont del Dragó,Coberta,3,6000,Sant Andreu,2160,2.190743326893750,9,Connexió a xarxa,4.8,2003,41.427243001737100,"Carrer Sagrera, 179"
IES M. Joan Manuel Zafra,Coberta,3,6000,Sant Martí,2160,2.182832596200300,10,Connexió a xarxa,4.8,2003,41.410282150063800,"Carrer Rogent, 51"
Fustes Gilabert (Padilla 210). Mitgera,Parets i mitgeres,1,3200,Eixample,1152,2.179538311546550,2,Connexió a xarxa,3.2,2004,41.404155183574100,"Carrer Padilla, 210"
Biblioteca Juan Marsé,Coberta,3,6750,Horta-Guinardó,2430,2.155056855730200,7,Connexió a xarxa,5.4,2006,41.421202192886700,"Carrer Murtra, 135-145"
Escola Adults Barceloneta,Coberta,4,9600,Ciutat Vella,3456,2.188275898055720,1,Connexió a xarxa,7.68,2008,41.382469529331100,"Carrer Balboa, 11"
Centre Cultural Casa Elizalde,Coberta,3,6000,Eixample,2160,2.165840098056100,2,Connexió a xarxa,4.8,2008,41.394630540169100,"Carrer València, 302"
Centre Cívic El Sortidor,Coberta,3,7750,Sants-Montjuïc,2790,2.162433280852640,3,Connexió a xarxa,6.2,2008,41.372257709624700,"Plaça del Sortidor, 12"
Centre Cívic Anníbal,Coberta,6,13950,Sants-Montjuïc,5022,2.162424855728620,3,Connexió a xarxa,11.16,2008,41.371905802764900,"Carrer Anníbal, 4-6"
Biblioteca Vapor Vell,Coberta,7,15525,Sants-Montjuïc,5589,2.134963455728780,3,Connexió a xarxa,12.42,2008,41.376962694260700,Passatge del Vapor Vell s/n
